,participantId,enrollmentState,successfulRatingNeededToEarnIn,timestampOfLastStateChange,timestampOfLastEarnOut,modelingPopulation,modelingGroup,numberOfTimesEarnedOut
4240,D6BDC5FEEF50A38EE3E6D825E8925F1547690B9B2433E799D46660B3161C9EAA,earnedIn,5,1709578909625,1,CORE,13.0,0
4241,8A28D70AB08A9BDBEA7490A443315D3861867D6110C52165A741C73BD4B31BC0,earnedIn,5,1711877500977,1,CORE,9.0,0
4242,F3A2F45E8A830019185A6A573204D2BAA2D6FABE9723CC1664D4BAB4FB9C89E8,newUser,5,1692981702774,1,CORE,14.0,0
4243,DBC1FAACD3EF445A941F2B4102DD1D31FC22AE88802451BF0D1463E3070072BA,newUser,5,1709573510566,1,CORE,13.0,0
4244,6486C5997737A81042822E7E4E9F3244B341BD8EBA467760BC49419FF15A59B2,newUser,5,1713008775965,1,EXPANSION,0.0,0
4245,5B8ADDE58409B19C1BC93EB60839DEC66277975D4DC7F9CB7443B389DC95994A,earnedIn,5,1711877500977,1,CORE,14.0,0
4246,5B823442395282B7F2022BF36D01F3C68CE7AADD49CF815CE89ED887F01A8594,earnedIn,5,1711877500977,1,CORE,0.0,0
4247,58C7D3592F8E24B389FD4381F19293239A0237E80A59D164123E8D55960A6A06,earnedIn,5,1711877500977,1,CORE,0.0,0
4248,9D168AF5074948224E89AD18D747AFEFDD1C0AEC0850B69FC63210855D5D2B78,newUser,5,1711877500977,1,CORE,0.0,0
4249,3FF7D025BE6768DC4ADDB7867DE29F132D29D5C80C8679352C767321461BAF54,earnedIn,5,1711877500977,1,CORE,13.0,0
4250,6CD3712296022DBCF6801DCA6537CFAB22F223D5EBDA6A0D623488621E052ACC,earnedIn,5,1711877500977,1,CORE,11.0,0
4251,3FDE50957D1B1B0B769A125ED5BE690A6672F72CAC9D33F99425A2B8DEF39D8C,earnedIn,5,1711877500977,1,CORE,11.0,0
4252,3136EB4F7C6437ECD34010BEECDE25102BE9F23A97B58271DDAE048AA8DE5DB3,newUser,5,1709436585763,1,CORE,0.0,0
4253,4233989CD787FBBCB52ECB4B74F6F11E4634D5C0BAB6345EF2429D878EED935E,newUser,5,1711877500977,1,EXPANSION_PLUS,0.0,0
4254,D239E00D73000F9542B7D994C775701BD368E037306FF628CAA9963A4B47706E,newUser,5,1701735079076,1,CORE,14.0,0
4255,4F28E170E005EC4AED0D1E0ECFD3918F3C39AE87D49F64079E85F61D77078F42,newUser,5,1711877500977,1,CORE,11.0,0
4256,0845E1B4D962B6B1A5AFE7088D251AD149A17136938D617EE9FB1EF3C7BCD681,earnedIn,5,1711877500977,1,EXPANSION,4.0,0
4257,C242A8A00B867A413FDD64388A0107A668DDF24E13F030E47108C8BE29C18A94,newUser,5,1711877500977,1,EXPANSION,0.0,0
4258,7E816AB7E04EC51D5A762870251A6658039BCC7E6627D60E84FBD9D07E341241,earnedIn,5,1711877500977,1,CORE,13.0,0
4259,DD74FE7BC5B4238779F502578CFA4F624B253D3949801568EBF4FE2EC876DA3C,earnedIn,5,1711877500977,1,EXPANSION,5.0,0
4260,0BDBED0C8F987F3F0B3666B6C3E57374F71812D52D74E879E268C82DF002BB26,newUser,5,1691138189179,1,CORE,9.0,0
4261,0955666C4A6037309DFF10F561874F3979E55E1673AC63338C0D9AA70A7CFBC4,earnedIn,5,1711877500977,1,CORE,13.0,0
4262,C0E27C971DF4D3E42E1FC30C544C5498157508337CCBBC729EB47F17C3ABA569,earnedOutAcknowledged,32,1712166429389,1712159915303,CORE,1.0,1
4263,3EBD3DFC5C1073AD82E9D66D6B25CB8C01A50E6B066D3F88E93BEF8FD5A852C9,newUser,5,1711872106346,1,CORE,13.0,0
4264,611CFA01982440E9F898458404971C947BD2B2040511ED7D8247E34E13353CFC,earnedIn,5,1711735389567,1,CORE,13.0,0
4265,959C20580D5CA9DF1068F1025337FEC902BED32E5EC7474C0690FDC6AC54B74D,earnedIn,5,1711877500977,1,CORE,13.0,0
4266,6885A54298F46EA58C3F3CC4F5C54E5DDD3D91881313F5394AD9AAB803602CDE,earnedIn,52,1713387271753,1712159915303,CORE,13.0,1
4267,D564FEFCA4A7098C296C82FDD0CD638ED3171BC10876918A28EE82A6832CCA47,newUser,5,1711877500977,1,CORE,9.0,0
4268,DFFD0759FDD89A327FFD55DA188C644996E7183A007C2C9DE6CBF3BC46AD4A5A,newUser,5,1711877500977,1,CORE,13.0,0
4269,708B81DF6AFDB697CAFBF260865103E93D96CF0555B939034557ECBA848F9EDA,newUser,5,1711877500977,1,CORE,0.0,0
4270,D5F2B569D6253A48ED10DDE2BA77DCA38D5E92A49B4834D8D710D5C202CD55B3,earnedIn,5,1711877500977,1,CORE,14.0,0
4271,8B33BA9B1D66AA3B184CF1720B4B71F074106BE42CD4CB5D3013BBF6EFB7AD43,earnedIn,5,1711877500977,1,CORE,0.0,0
4272,56E873A8845DD840A906E2A3C62A483574BA3964F3146C3C0CBEDE9596D94E97,newUser,5,1711877500977,1,CORE,0.0,0
4273,DC6E0F1A3FB611CF57EE18D4DB598EA16FC84CAA35B722040B9B557E6AFD0943,newUser,5,1709578909625,1,CORE,13.0,0
4274,B71D28A656FFF803C23C1BDFF33FEBB07F87DCC1E4B8FBC5B6B61A7D81A3D72C,earnedIn,5,1711881436659,1,CORE,1.0,0
4275,C4E52D271613CB0E8430ED5A1749635FDF65A0348EDA86525A082E07C7ABDE55,earnedOutAcknowledged,5,1712166429561,1712159915303,EXPANSION,0.0,1
4276,05C5572FA763836A473107C4D1FBC6BFE5B104B5A07574701A0038994F1C94A5,earnedIn,5,1711877500977,1,CORE,2.0,0
4277,8FCAB0232E7AEC03570D7A395E6646A400C5EFFFB62DB2661B9164298B47453E,newUser,5,1693559735482,1,CORE,3.0,0
4278,F8A7F749C689433287BE0E17C37B83B909351274365B0B770D4A66AC6697DEC5,earnedIn,5,1711877500977,1,CORE,13.0,0
4279,ED6FFF8AB7F815FE29AC9B725BE788338DA9591791136D81C26FAF7A5044A528,newUser,5,1711729958145,1,CORE,1.0,0
4280,79226E578FABC42AD2200359C523B0AAACAE52863BF3F832730EBA892EC09BAC,earnedIn,5,1711877500977,1,CORE,0.0,0
4281,1B1B058BC0651D719B29FEEDB30CF1F2FBBEA7D040CE2F533FD47429B1A5A476,earnedIn,5,1711877500977,1,CORE,0.0,0
4282,6CB9735CF7144861B42B233A71E57B07F00AD5813323224F284FB3BFD1A77465,earnedIn,5,1711881436733,1,CORE,3.0,0
4283,D334CEAD6AFF99D26B5808500399BB1F4C5EDB7F496E5E61D64C4950177A039F,newUser,5,1711877500977,1,EXPANSION,0.0,0
4284,0BE52942A02444F359C7D5438F85BA9637B40BD68984C64A50BB35681978E8E7,earnedIn,5,1711877500977,1,CORE,13.0,0
4285,AF82F4B36A2695C3F2A2843AFCEC468FF20D52D0765C9A1B6FB9FEF30855FCFE,newUser,5,1711877500977,1,CORE,13.0,0
4286,98DE38941BEE1FE5B35C7FC0D1956F4825D938C657B94740CD2EEDADE09DEF04,earnedIn,5,1711877500977,1,EXPANSION,0.0,0
4287,72529C27B35255E6EF7454592CF443016CBB4C205E9A670BAC117E3ACAB6DE5E,newUser,5,1711877500977,1,CORE,1.0,0
4288,830D16D6CF5A516DC83135E62F977AEE60A2B66FFFC22AB8408E5041647C071F,newUser,5,1711877500977,1,CORE,13.0,0
4289,761C5D7F1E1820A9EEC606D4EDD2103E132C40AA1C2D9E5459C5BEA48D48EF4F,earnedIn,5,1711877500977,1,CORE,0.0,0
4290,C473FF330B67DE0796BFDF47CDA650846245CE161D5A60FD70DD3FE9ACF44A61,newUser,5,1711877500977,1,CORE,13.0,0
4291,623E739D3DDBC6ECA2335EC4FB2D20A39C1F4707071F0197C78BBD78A4FAE135,earnedIn,5,1711877500977,1,CORE,0.0,0
4292,0EE7559784A3E4FDFEADD3AF703FC87E7F95E76FA66CC118EC5B7539AB4964C6,earnedIn,5,1711877500977,1,CORE,0.0,0
4293,748DE8FBC800708006C45152A1B389D4A18CCF5CB8F85C85D342FE59B334FCB9,earnedIn,5,1711877500977,1,CORE,14.0,0
4294,7F857FEBAB9C548345CA21F2080313674F4DB0A4283FD8BF73E859E0DFF9F3EC,earnedIn,5,1709578909625,1,CORE,14.0,0
4295,E6F6AD4D8C3561FD30880C153EA057E75552AE09DF18D8EFAD7128D70164E1DD,earnedIn,5,1711877500977,1,CORE,6.0,0
4296,7608DD0F002FD4C861A1965B2FD1099F20A5AEEBF4D6AE533ECBA435412C8934,earnedIn,5,1711877500977,1,CORE,0.0,0
4297,51CE9CC078FE9FCEE6F13C92EDFF1F0F07BEDC5C7F63D6338BF9C8BF7537D04E,newUser,5,1709578909625,1,CORE,13.0,0
4298,B73ACA4D9DEAED655E4E505633AE55547604091D092B1DA09A59DE9DDDF7AC78,newUser,5,1661978977198,1,CORE,13.0,0
4299,031AC78704B5DF729821BB93C8C4E98C49D38E72555701E48AC480C84B867ED9,newUser,5,1711877500977,1,CORE,1.0,0
4300,9BBA784E9708747321F68247CA79E5569280640C62C0D66A7D5F6495B03E361F,newUser,5,1690280761605,1,CORE,9.0,0
4301,CB7022B4092B9CF14FA5665C0E08EA0301A92572914565C309C5B209EC59849A,earnedIn,5,1713888812715,1,CORE,14.0,0
4302,C6ECC479B072011B960D4A0C7DD2AD2423AED1093F8CD9260156841EF87D9359,newUser,5,1708344587252,1,CORE,14.0,0
4303,C114F14A22F874019B87375702028E66C3764B254EDD9196810B13116F919125,earnedIn,5,1711877500977,1698198120954,EXPANSION,0.0,0
4304,0B5EEDECEF2483466C69D51CDA14C8E5C66A5C8E4302B72B6D3A08BB05603B68,earnedIn,5,1709578909625,1,CORE,10.0,0
4305,A70207D36D8C693882FC46EEF9977069EA55BA976704E07FB740FC89862A07C7,earnedIn,5,1711744392195,1,CORE,0.0,0
4306,DB35667B9BBBA088F0C2B4244FAB2AE84F531C2C09C8BF8926D6CB7568C2C1C3,newUser,5,1711877500977,1,CORE,2.0,0
4307,7E81892FBCBE143E673ADAD688636699585094BC64F2D8A37EE15A5C8EA39B85,newUser,5,1711877500977,1,CORE,11.0,0
4308,7780FFA3AB5066191DC65BD7612057EA8435CA8C722F737F6AFCED03CB7AA705,newUser,5,1707106305371,1,CORE,13.0,0
4309,BF302E8FF55DACEBFFCFAC6445B75B259637801E8326B4DC0A9176C0C92CB65B,newUser,5,1671576672944,1,CORE,13.0,0
4310,24BF3B1821E2E6B0B4FED74088664045D86D892C3A32E0FDF0B2292D4226BB16,earnedIn,5,1711877500977,1,CORE,0.0,0
4311,5D8DC028F26FBA2DFB8ADA02E012420BA8C9907230C5FB7ECD8B3FB01B9F89F9,newUser,5,1711877500977,1,CORE,1.0,0
4312,DC25F3B365A10E6BC4256606EB955ED85222528CA5B1FED0D9C76D4377F2B0E9,newUser,5,1703640131431,1,CORE,1.0,0
4313,60ADBB95702B7778EEEB8718523E121D3AD0C987B699F032CB8AD5B0F9B2BDE1,earnedIn,5,1709578909625,1,CORE,0.0,0
4314,245A160E1A946FD90B330401AF2F43317719A9ABE176308A1F02890BBA5D34D1,earnedIn,5,1711881436654,1,EXPANSION,7.0,0
4315,560049AFAF2E700A4CFF5201F64214A80F1F0CA12352E74B616C03509EAA10E5,newUser,5,1711877500977,1,CORE,13.0,0
4316,81473CFAE1F164B058A7D1F8925705B43839A2EA1D6EE14586BEF956AF865993,earnedIn,5,1714083585576,1,CORE,3.0,0
4317,B86D6CA2E234E9339C8E821D062EFA105FEE14B2A1CEB14D7E6C433BCCDD7595,newUser,5,1711877500977,1,CORE,6.0,0
4318,A3654E3DAE960D742F827D29F7C69775EDCB242E15DC804F746F9BDF5952F567,newUser,5,1711877500977,1,CORE,1.0,0
4319,4BF87ADA95742F4269E0CE8E778DDD6A713CC66580EC3F72D715556FE9E5758E,newUser,5,1711877500977,1,CORE,13.0,0
4320,010C728106A9B69E76AC9CC75599CD88458D6F5B7301ACE94D44E297B2D962A4,earnedIn,5,1709573510566,1,CORE,13.0,0
4321,5A6840265C33C393858275A6BAC519CBA32D6B60C8CB42699912831AA74554BA,earnedIn,5,1711877500977,1,CORE,13.0,0
4322,F4ECAA456B972BDAB851865F1114A1E5D07F0CCF539ECC411A9486FE477D872F,newUser,5,1690389515063,1,CORE,9.0,0
4323,5B2BFEB75ECC896221BC18EE044389584FA03C05569FBA3A7C57B3FC24B9E124,newUser,5,1711877500977,1,CORE,0.0,0
4324,5CE89C60E4F9133341E97FB676C91BBD3E78AB2FABAAA0EB0E5C847CFE93B811,newUser,5,1692083420516,1,CORE,0.0,0
4325,CFF89E431F974FC749A845AB3D3AB03350B2BF3F408C975BFFBBEF56827346F1,earnedIn,5,1711877500977,1,CORE,1.0,0
4326,831D374E5DB8C4D0C0DF3E9F5C7FB65FC54C337E596203573CD6018B5532F3EC,earnedIn,5,1711877500977,1,CORE,1.0,0
4327,15DDD040AD73E10FB5F3A29CCC7F7C02741FE37A64206E148689C6EA5C8FEE35,newUser,5,1711877500977,1,CORE,13.0,0
4328,9A4B9821CA572F2D2C91D8BECF44C57EC7EFCFB976E4888993AF06ED523A86C0,earnedIn,5,1711877500977,1,CORE,13.0,0
4329,55830B462FBBB1F4B051F936B08712EFB27DA77F9698DEDC57B2511534F6C8DC,newUser,5,1702606435330,1,CORE,1.0,0
4330,71EB7B036BCC79273429E597BCCF9E979309E5EB85E0DEB262075D09B2DD0EB8,earnedIn,5,1711877500977,1,CORE,13.0,0
4331,55D65C40AEA12300C6756B87958A80F37A6694738C03B41653CCE071ED1E57E9,newUser,5,1711744392195,1,CORE,13.0,0
4332,782597FF11A6C371DC7F31B4F19DE1C829235330A25E3F4D05B44FDF282C4E13,newUser,5,1711877500977,1,CORE,0.0,0
4333,7730E86425D3CD6F382518CEB36AB6BDB19618ECEF2F1B89B7BC3AA3EEA53CC3,newUser,5,1711877500977,1,CORE,13.0,0
4334,B642C877BB9E5BEA881BFF3E3A3EA456563C978CBDAC1A89A8DCCCE307CA2644,earnedIn,5,1711877500977,1,CORE,13.0,0
4335,5260A1299225FFCF4222FC09A73E0EF0CBD1593059E1B0304B0239E55D1017E9,newUser,5,1709578909625,1,CORE,0.0,0
4336,ADCD1CD21DDA365375E83B990D7CD91A96EE47CE3E2E3F891C882BF104370556,newUser,5,1709997852780,1,CORE,0.0,0
4337,24C9381181658C6B21DD8A570AE198BB853F709C99A759A14FF591C15FBF0C16,earnedIn,5,1711877500977,1,EXPANSION,0.0,0
4338,0509BDFD422F4E2E95064F9A4BEDA07AC0C9DF76E4F7A16B46931F0FB4A2EDC1,newUser,5,1709578909625,1,CORE,14.0,0
4339,4DA433037353F0DF7A8C54E57DF879E47E4C5F94663CA5C95CD6B71BAA65593D,newUser,5,1711877500977,1,CORE,0.0,0
4340,552FE44B119F048D70EAE586AC81A62AD6F59E0F70B470D89438EB6B3E3CA148,newUser,5,1711877500977,1,CORE,13.0,0
4341,2FA07AB0B87E8AE31E49A6F5E8B8D703E3784D56DB11409C60857F1EEF8013E8,newUser,5,1711877500977,1,CORE,9.0,0
4342,B88E040FCBC83549FF6FE871A6041649C7ADAAE5F940CF5B34115D8B700DA38D,earnedIn,5,1714011325482,1,EXPANSION,4.0,0
